縫 crack
諷 satirize
賵 gift
鳳 phoenix
佛 Buddha
紑 bright
芣 Plantago
否 to
缶 pottery
伕 porter
夫 husband
孵 hatch
尃 state
敷 announce
枹 Quercus
柎 calyx
泭 a
砆 agate
膚 skin
衭 lapel
趺 instep
跗 instep
鄜 district
鈇 axe
麩 bran
伏 conceal
俘 prisoner
刜 to
匐 fall
咈 oppose
孚 trust
巿 revolve
帗 object
幅 picture)
弗 not
彿 seemingly
怫 anxious
扶 support
拂 brush
服 clothes
桴 beam
氟 fluorine
洑 undercurrent
浮 to
涪 name
砩 name
祓 cleanse
福 good
符 mark
笰 duster
箙 quiver
紱 ribbon
紼 heavy
綍 heavy
縛 to
罘 place
罦 catching
艴 angry
芙 lotus
芾 luxuriance
苻 Angelica
茀 luxuriant
茯 Pachyma
莩 pellicle
菔 turnip
葍 weeds
蚨 waterbeetle
蜉 fly)
蝠 bat
袚 kneepads
袱 wrapped
輻 spoke
郛 suburbs
韍 kneepad
鳧 mallard
鵩 owl
黻 embroidery
俯 look
嘸 unclear
府 prefecture
弣 handle
拊 pat
撫 to
斧 hatchet
滏 river
甫 just
簠 basket
脯 candied
腐 decay
腑 internal
蜅 crab
輔 to
郙 ancient
釜 kettle
頫 look
鯆 skate
黼 embroidery
付 pay
偩 rely
傅 surname
副 secondary
咐 to
婦 woman
嬔 baby
富 rich
復 again
父 father
祔 worship
腹 abdomen
蚹 Eulota
蝮 venomous
複 repeat
褔 complex
覆 to
訃 obituary
負 lose
賦 poetic
賻 contribute
赴 go
輹 holding
阜 abundant
附 to
馥 fragrance
駙 prince
鮒 silver
鰒 Haliotis
嘎 cackling
噶 phonetic
釓 gadolinium
尕 phonetic
尬 embarrassing
侅 to
垓 boundary
荄 roots
該 that
賅 surname
陔 step
改 to
丐 beg
戤 infringe
概 general
溉 irrigate
蓋 lid
鈣 calcium
乾 dry
坩 crucible
尷 embarrassed
干 to
杆 pole
柑 large
泔 rinsing
玕 gem)
甘 surname
疳 rickets
矸 rock
竿 pole
筸 place
肝 liver
虷 worm
酐 anhydride
感 to
敢 dare
杆 measure
桿 stick
橄 olive
澉 place
稈 stalks
趕 catch
幹 main
旰 sunset
榦 tree
淦 name
灨 River
紺 violet
贛 Jiangxi
骭 shinbone
剛 hard
堈 earthen
堽 mound
岡 ridge
扛 overhead
杠 footbridge
疘 anus
笐 bamboos
綱 fishing
缸 jar
罡 stars
肛 anus
舡 boat
釭 hanging
鋼 steel
崗 mound
港 harbor
杠 carrying
槓 carrying
槔 water
櫜 weapon
皋 bank
睪 spy
睾 bank
篙 punting
糕 cake
羔 lamb
膏 ointment
高 high
鼛 large
搞 to
暠 daybreak
杲 high
槁 dry
稿 manuscript
縞 plain
鎬 a
告 to
誥 enjoin
郜 surname
鋯 zirconium
割 cut
咯 phonetic
哥 elder
圪 phonetic
戈 surname
擱 to
歌 song
渮 place
牁 place
